case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
C001,VLAN,PC cannot ping another PC in the same department,Switch port is intended for VLAN 20,show vlan brief: Fa0/3 is assigned to VLAN 10,PC port is in the wrong VLAN,Layer 2,VLAN,Medium
C002,VLAN,Host cannot reach devices in VLAN 30,Access switch should carry VLAN 30,show interfaces trunk: VLAN 30 not allowed,VLAN 30 is missing from the trunk allowed list,Layer 2,VLAN,High
C003,VLAN,New users on VLAN 40 have no connectivity,VLAN 40 was added recently,show vlan brief: VLAN 40 does not exist,Required VLAN is missing,Layer 2,VLAN,High
C004,Gateway,PC reaches local hosts but not remote server,PC belongs to 192.168.10.0/24,ipconfig: gateway 192.168.1.1,Default gateway does not match the local subnet,Layer 3,Gateway,High
C005,Gateway,Several PCs cannot leave their subnet,Router gateway should be .1,ipconfig: gateway 192.168.20.254; router interface 192.168.20.1,Incorrect default gateway configured,Layer 3,Gateway,High
C006,DHCP,PC receives APIPA address,DHCP server is available on another subnet,ipconfig: 169.254.12.8,DHCP request is not being served or relayed,Layer 7,DHCP,High
C007,DHCP,Clients get addresses but no gateway,DHCP scope should provide router option,"show running-config: pool has network only, no default-router",DHCP pool is missing the default-router option,Layer 7,DHCP,Medium
C008,DHCP,New client cannot obtain an address,Small lab DHCP pool is nearly full,show ip dhcp pool: 100 percent leased,DHCP address pool is exhausted,Layer 7,DHCP,High
C009,DNS,Users can ping server IP but not hostname,DNS server should resolve intranet.local,nslookup intranet.local: server can't find name,DNS record is missing or DNS service is misconfigured,Layer 7,DNS,Medium
C010,DNS,Only external names fail to resolve,Internal hosts resolve normally,show hosts: DNS server configured to unreachable address,Configured DNS server is unreachable,Layer 7,DNS,High
C011,Routing,Router A cannot reach remote LAN,Three routers are connected,show ip route: remote 10.3.0.0/24 absent,Missing route to remote network,Layer 3,Routing,High
C012,Routing,Traffic takes wrong path to branch,Two paths exist to branch,show ip route: static route points to wrong next hop,Static route has an incorrect next hop,Layer 3,Routing,High
C013,Routing,OSPF neighbors never form,Routers share a link,show ip ospf neighbor: empty; interfaces in different areas,OSPF area mismatch prevents adjacency,Layer 3,Routing,High
C014,Routing,RIP route is not learned,Branch network was added,show ip protocols: network statement missing branch interface,Routing protocol is not enabled on required network,Layer 3,Routing,High
C015,ACL,PC can ping but HTTP is blocked,Policy should allow web access,show access-lists: deny tcp host any eq 80 before permit,ACL explicitly denies HTTP traffic,Layer 4,ACL,High
C016,ACL,Management PC is blocked unexpectedly,ACL protects router VTY,show access-lists: source subnet typo,ACL source network or wildcard is incorrect,Layer 3,ACL,Medium
C017,ACL,Traffic should be filtered but is not,ACL was created for guest network,show run interface: no ip access-group command,ACL is not applied to the interface,Layer 3,ACL,High
C018,NAT,Inside users cannot browse the internet,Public interface is correctly addressed,show ip nat translations: empty; interface roles reversed,NAT inside/outside roles are misconfigured,Layer 3,NAT,High
C019,NAT,Only one inside host can access internet,NAT overload is expected,"show run: static NAT only, no overload",PAT/NAT overload is missing,Layer 3,NAT,High
C020,NAT,NAT rule exists but does not match users,Inside LAN is 10.10.0.0/16,access-list 1 permits 10.1.0.0 0.0.255.255,NAT ACL matches the wrong inside network,Layer 3,NAT,High
C021,Wireless,Client cannot join corporate Wi-Fi,SSID should be CorpWiFi,Wireless settings show SSID CorpWifi,SSID mismatch due to incorrect name/case,Layer 2,Wireless,Medium
C022,Wireless,Wi-Fi client connects but gets no IP,AP is connected to switch,show interface status: AP switch port shutdown,Wireless AP uplink interface is down,Layer 1,Wireless,High
C023,Wireless,Guest Wi-Fi reaches internal server,Guests should be isolated,show access-lists: no guest deny rule,Guest isolation ACL is missing,Layer 3/4,Wireless Security,Critical
C024,Interface,Router link is down,Two routers are directly connected,show ip interface brief: Serial0/0/0 administratively down,Interface is administratively shutdown,Layer 1,Interface,High
C025,Interface,Switch port does not pass traffic,Host cable is connected,show interfaces status: Fa0/8 disabled,Switch port is disabled,Layer 1,Interface,Medium
C026,IP Addressing,Two PCs lose connectivity intermittently,Both are on same LAN,arp table alternates MAC for 192.168.50.10,Duplicate IP address conflict,Layer 3,IP Addressing,High
C027,IP Addressing,Host cannot reach local gateway,Host should be /24,ipconfig: 192.168.5.10 mask 255.255.0.0; gateway 192.168.5.1,Subnet mask is incorrect for the intended network,Layer 3,IP Addressing,High
C028,Trunk,Inter-VLAN traffic fails through distribution switch,VLANs 10 and 20 should cross trunk,show interfaces trunk: operational mode dynamic auto on both ends,Trunk negotiation did not form an active trunk,Layer 2,Trunk,High
C029,VLAN,Native VLAN mismatch warning appears,Two switches are trunked,show interfaces trunk: native VLAN 1 vs 99,Native VLAN mismatch on trunk,Layer 2,VLAN,Medium
C030,Routing,Remote network is reachable one way only,Return path should exist,show ip route on destination router: source network absent,Return route is missing,Layer 3,Routing,High
